gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportHetDeletion	hetDeletionThreshold	reportLoh	reportDisruption	reportAmplification	amplificationRatio	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	reportGermlineAmplification	additionalReportedTranscripts	reportPGX	reportHighExpression	reportNovelSpliceJunction
MYC	FALSE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	FALSE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
RAD21	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
ZFHX4	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
ANKRD26	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
PTEN	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	ANY	ANY	ANY	ANY	TRUE		FALSE	FALSE	FALSE
SMC3	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
CDKN2A	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	ANY	ANY	ANY	ANY	TRUE	ENST00000579755	FALSE	FALSE	FALSE
CDKN2B	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
HNRNPK	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
JAK2	TRUE	FALSE	FALSE	TRUE	FALSE	0.6	FALSE	TRUE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
NOTCH1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	TRUE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
PAX5	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
ASXL1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
GNAS	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
ATM	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	ANY	ANY	ANY	ANY	TRUE		FALSE	FALSE	FALSE
BIRC3	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
CBL	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	TRUE
EED	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE	NONE	NONE	FALSE		FALSE	FALSE	FALSE
HRAS	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	FALSE
KMT2A	TRUE	FALSE	FALSE	FALSE	FALSE	0.6	FALSE	FALSE	TRUE	3	TRUE	ONCO	NONE	NONE	NONE	NONE	FALSE		FALSE	TRUE	TRUE
RRAS2	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
SF1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	NONE	NONE			FALSE		FALSE	FALSE	FALSE
WT1	TRUE	TRUE	TRUE	TRUE	FALSE	0.6	FALSE	TRUE	FALSE	3	TRUE	TSG	ANY	ANY	ANY	ANY	TRUE		FALSE	FALSE	FALSE
