level	replicate	verdict	confidence	f_estimate	median_dev	noise_floor	n_het	scope	ctrl_median_dev	other_arms_changed
0.08	3	NEUTRAL	NA	0.078	0.0389	0.0716	139	arm	0.0286	-
0.08	4	NEUTRAL	NA	0.080	0.0401	0.0716	139	arm	0.0286	-
0.08	5	NEUTRAL	NA	0.085	0.0424	0.0716	139	arm	0.0286	-
0.08	6	NEUTRAL	NA	0.073	0.0366	0.0716	139	arm	0.0286	-
0.08	7	NEUTRAL	NA	0.083	0.0414	0.0716	139	arm	0.0286	-
0.08	8	NEUTRAL	NA	0.082	0.0409	0.0716	139	arm	0.0286	-
0.08	9	NEUTRAL	NA	0.078	0.0389	0.0716	139	arm	0.0286	-
0.08	10	NEUTRAL	NA	0.080	0.0398	0.0716	139	arm	0.0286	-
0.08	11	NEUTRAL	NA	0.081	0.0405	0.0716	139	arm	0.0286	-
0.08	12	NEUTRAL	NA	0.083	0.0416	0.0716	139	arm	0.0286	-
0.08	13	NEUTRAL	NA	0.086	0.0431	0.0716	139	arm	0.0286	-
0.08	14	NEUTRAL	NA	0.083	0.0414	0.0716	139	arm	0.0286	-
0.08	15	NEUTRAL	NA	0.080	0.0398	0.0716	139	arm	0.0286	-
0.08	16	NEUTRAL	NA	0.081	0.0407	0.0716	139	arm	0.0286	-
0.08	17	NEUTRAL	NA	0.079	0.0397	0.0716	139	arm	0.0286	-
0.08	18	NEUTRAL	NA	0.077	0.0385	0.0716	139	arm	0.0286	-
0.08	19	NEUTRAL	NA	0.071	0.0354	0.0716	139	arm	0.0286	-
0.1	0	NEUTRAL	NA	0.102	0.0511	0.0716	139	arm	0.0286	-
0.1	1	NEUTRAL	NA	0.096	0.0478	0.0716	139	arm	0.0286	-
0.1	2	NEUTRAL	NA	0.102	0.0512	0.0716	139	arm	0.0286	-
0.1	3	NEUTRAL	NA	0.104	0.0518	0.0716	139	arm	0.0286	-
0.1	4	NEUTRAL	NA	0.098	0.0492	0.0716	139	arm	0.0286	-
0.1	5	NEUTRAL	NA	0.101	0.0505	0.0716	139	arm	0.0286	-
0.1	6	NEUTRAL	NA	0.100	0.0498	0.0716	139	arm	0.0286	-
0.1	7	NEUTRAL	NA	0.096	0.0478	0.0716	139	arm	0.0286	-
0.1	8	NEUTRAL	NA	0.103	0.0517	0.0716	139	arm	0.0286	-
0.1	9	NEUTRAL	NA	0.099	0.0497	0.0716	139	arm	0.0286	-
0.1	10	NEUTRAL	NA	0.099	0.0497	0.0716	139	arm	0.0286	-
0.1	11	NEUTRAL	NA	0.096	0.0479	0.0716	139	arm	0.0286	-
0.1	12	NEUTRAL	NA	0.099	0.0495	0.0716	139	arm	0.0286	-
0.1	13	NEUTRAL	NA	0.095	0.0473	0.0716	139	arm	0.0286	-
0.1	14	NEUTRAL	NA	0.099	0.0495	0.0716	139	arm	0.0286	-
0.1	15	NEUTRAL	NA	0.105	0.0527	0.0716	139	arm	0.0286	-
0.1	16	NEUTRAL	NA	0.101	0.0505	0.0716	139	arm	0.0286	-
0.1	17	NEUTRAL	NA	0.098	0.0488	0.0716	139	arm	0.0286	-
0.1	18	NEUTRAL	NA	0.104	0.0521	0.0716	139	arm	0.0286	-
0.1	19	NEUTRAL	NA	0.102	0.0511	0.0716	139	arm	0.0286	-
0.12	0	NEUTRAL	NA	0.121	0.0604	0.0716	139	arm	0.0286	-
0.12	1	NEUTRAL	NA	0.120	0.0602	0.0716	139	arm	0.0286	-
0.12	2	NEUTRAL	NA	0.119	0.0593	0.0716	139	arm	0.0286	-
0.12	3	NEUTRAL	NA	0.122	0.0609	0.0716	139	arm	0.0286	-
0.12	4	NEUTRAL	NA	0.125	0.0624	0.0716	139	arm	0.0286	-
0.12	5	NEUTRAL	NA	0.124	0.0622	0.0716	139	arm	0.0286	-
0.12	6	NEUTRAL	NA	0.120	0.0598	0.0716	139	arm	0.0286	-
0.12	7	NEUTRAL	NA	0.117	0.0587	0.0716	139	arm	0.0286	-
0.12	8	NEUTRAL	NA	0.121	0.0604	0.0716	139	arm	0.0286	-
0.12	9	NEUTRAL	NA	0.120	0.0600	0.0716	139	arm	0.0286	-
0.12	10	NEUTRAL	NA	0.117	0.0585	0.0716	139	arm	0.0286	-
0.12	11	NEUTRAL	NA	0.120	0.0600	0.0716	139	arm	0.0286	-
0.12	12	NEUTRAL	NA	0.119	0.0596	0.0716	139	arm	0.0286	-
0.12	13	NEUTRAL	NA	0.120	0.0601	0.0716	139	arm	0.0286	-
0.12	14	NEUTRAL	NA	0.121	0.0607	0.0716	139	arm	0.0286	-
0.12	15	NEUTRAL	NA	0.120	0.0598	0.0716	139	arm	0.0286	-
0.12	16	NEUTRAL	NA	0.124	0.0622	0.0716	139	arm	0.0286	-
0.12	17	NEUTRAL	NA	0.121	0.0607	0.0716	139	arm	0.0286	-
0.12	18	NEUTRAL	NA	0.121	0.0604	0.0716	139	arm	0.0286	-
0.12	19	NEUTRAL	NA	0.123	0.0615	0.0716	139	arm	0.0286	-
0.15	0	CNLOH	LOW	0.150	0.0748	0.0716	139	arm	0.0286	-
0.15	1	CNLOH	LOW	0.149	0.0745	0.0716	139	arm	0.0286	-
0.15	2	CNLOH	LOW	0.151	0.0753	0.0716	139	arm	0.0286	-
0.15	3	CNLOH	LOW	0.151	0.0756	0.0716	139	arm	0.0286	-
0.15	4	CNLOH	LOW	0.153	0.0766	0.0716	139	arm	0.0286	-
0.15	5	CNLOH	LOW	0.153	0.0764	0.0716	139	arm	0.0286	-
0.15	6	CNLOH	LOW	0.152	0.0760	0.0716	139	arm	0.0286	-
0.15	7	CNLOH	LOW	0.152	0.0759	0.0716	139	arm	0.0286	-
0.15	8	CNLOH	LOW	0.151	0.0756	0.0716	139	arm	0.0286	-
0.15	9	CNLOH	LOW	0.145	0.0723	0.0716	139	arm	0.0286	-
0.15	10	CNLOH	LOW	0.150	0.0748	0.0716	139	arm	0.0286	-
0.15	11	CNLOH	LOW	0.153	0.0764	0.0716	139	arm	0.0286	-
0.15	12	CNLOH	LOW	0.147	0.0736	0.0716	139	arm	0.0286	-
0.15	13	CNLOH	LOW	0.147	0.0733	0.0716	139	arm	0.0286	-
0.15	14	CNLOH	LOW	0.150	0.0752	0.0716	139	arm	0.0286	-
0.15	15	CNLOH	LOW	0.150	0.0752	0.0716	139	arm	0.0286	-
0.15	16	CNLOH	LOW	0.150	0.0748	0.0716	139	arm	0.0286	-
0.15	17	CNLOH	LOW	0.152	0.0759	0.0716	139	arm	0.0286	-
0.15	18	CNLOH	LOW	0.150	0.0750	0.0716	139	arm	0.0286	-
0.15	19	CNLOH	LOW	0.150	0.0748	0.0716	139	arm	0.0286	-
0.2	0	CNLOH	LOW	0.205	0.1027	0.0716	139	arm	0.0286	-
0.2	1	CNLOH	LOW	0.194	0.0969	0.0716	139	arm	0.0286	-
0.2	2	CNLOH	LOW	0.199	0.0994	0.0716	139	arm	0.0286	-
0.2	3	CNLOH	LOW	0.198	0.0992	0.0716	139	arm	0.0286	-
0.2	4	CNLOH	LOW	0.201	0.1006	0.0716	139	arm	0.0286	-
0.2	5	CNLOH	LOW	0.201	0.1006	0.0716	139	arm	0.0286	-
0.2	6	CNLOH	LOW	0.203	0.1014	0.0716	139	arm	0.0286	-
0.2	7	CNLOH	LOW	0.197	0.0984	0.0716	139	arm	0.0286	-
0.2	8	CNLOH	LOW	0.201	0.1005	0.0716	139	arm	0.0286	-
0.2	9	CNLOH	LOW	0.203	0.1013	0.0716	139	arm	0.0286	-
0.2	10	CNLOH	LOW	0.203	0.1015	0.0716	139	arm	0.0286	-
0.2	11	CNLOH	LOW	0.200	0.0998	0.0716	139	arm	0.0286	-
0.2	12	CNLOH	LOW	0.202	0.1010	0.0716	139	arm	0.0286	-
0.2	13	CNLOH	LOW	0.203	0.1013	0.0716	139	arm	0.0286	-
0.2	14	CNLOH	LOW	0.201	0.1003	0.0716	139	arm	0.0286	-
0.2	15	CNLOH	LOW	0.199	0.0994	0.0716	139	arm	0.0286	-
0.2	16	CNLOH	LOW	0.200	0.0998	0.0716	139	arm	0.0286	-
0.2	17	CNLOH	LOW	0.203	0.1016	0.0716	139	arm	0.0286	-
0.2	18	CNLOH	LOW	0.202	0.1009	0.0716	139	arm	0.0286	-
